name,category,latitude,longitude,description,popularity,avg_rating,rating_count,image_url,visitor_count
北京饭店,酒店,39.909,116.407,位于王府井商业区的五星级酒店,1485,4.26,1030,/images/misc/1.jpg,57133
北京首都国际机场,交通,40.079,116.603,中国最繁忙的国际机场之一,8904,4.76,10895,/images/transport/2.jpg,400000
国家体育馆,设施,40.004,116.381,北京奥运配套体育设施,2512,4.62,1724,/images/facility/3.jpg,72479
清华大学,校园,40.003,116.326,中国著名高等学府之一,1571,4.67,1860,/images/campus/4.jpg,35276
北京地铁东单站,交通,39.913,116.417,地铁1号线与5号线换乘站,6230,4.34,3972,/images/transport/5.jpg,254460
北京大学,校园,39.992,116.306,中国顶尖综合性大学,2411,4.95,2956,/images/campus/6.jpg,60000
北京西站,交通,39.894,116.321,亚洲最大铁路客运站之一,9467,4.27,16207,/images/transport/7.jpg,393805
国家大剧院,文化,39.904,116.397,国家级表演艺术中心,3937,4.95,1516,/images/culture/8.jpg,120000
北京南站,交通,39.865,116.378,现代化高速铁路枢纽站,5526,4.05,2475,/images/transport/9.jpg,367952
中国尊,商务,39.912,116.459,北京第一高楼，CBD地标建筑,2013,4.95,3513,/images/business/10.jpg,56309
北京地铁西直门站,交通,39.941,116.352,地铁2号线、4号线、13号线换乘枢纽,7567,4.18,5625,/images/transport/11.jpg,361930
北京动物园,景点,39.938,116.339,中国最早的现代动物园,5860,4.94,5762,/images/scenic/12.jpg,200000
北京地铁国贸站,交通,39.909,116.461,地铁1号线与10号线换乘站,10522,4.73,12674,/images/transport/13.jpg,291739
北京协和医院,医疗,39.908,116.407,中国顶尖综合性医院,2731,4.32,2409,/images/misc/14.jpg,80371
北京地铁西单站,交通,39.907,116.373,地铁1号线与4号线换乘站,8481,4.23,8564,/images/transport/15.jpg,279637
北京地铁王府井站,交通,39.908,116.407,地铁1号线重要车站,10311,4.35,5671,/images/transport/16.jpg,239297
北京地铁天安门东站,交通,39.908,116.397,临近天安门广场的地铁站,10944,4.95,5655,/images/transport/17.jpg,400000
北京地铁复兴门站,交通,39.907,116.357,地铁1号线与2号线换乘站,6230,4.38,4440,/images/transport/18.jpg,152957
北京地铁积水潭站,交通,39.948,116.373,地铁2号线重要车站,11296,4.54,18431,/images/transport/19.jpg,340489
北京地铁雍和宫站,交通,39.949,116.417,地铁2号线与5号线换乘站,7356,4.28,11642,/images/transport/20.jpg,346244
北京地铁崇文门站,交通,39.901,116.417,地铁2号线与5号线换乘站,6652,4.39,4368,/images/transport/21.jpg,145981
北京地铁东四十条站,交通,39.933,116.433,地铁2号线重要车站,10381,4.95,3963,/images/transport/22.jpg,400000
北京地铁朝阳门站,交通,39.924,116.433,地铁2号线与6号线换乘站,8693,4.28,4230,/images/transport/23.jpg,315855
北京地铁建国门站,交通,39.908,116.433,地铁1号线与2号线换乘站,11718,4.95,13518,/images/transport/24.jpg,265191
北京地铁和平门站,交通,39.899,116.383,地铁2号线重要车站,9678,4.62,16204,/images/transport/25.jpg,318142
北京地铁前门站,交通,39.899,116.397,地铁2号线重要车站,8622,4.79,13381,/images/transport/26.jpg,400000
北京地铁安定门站,交通,39.949,116.403,地铁2号线重要车站,7567,4.79,10239,/images/transport/27.jpg,314115
北京地铁鼓楼大街站,交通,39.949,116.393,地铁2号线与8号线换乘站,7848,4.95,8362,/images/transport/28.jpg,400000
北京地铁什刹海站,交通,39.937,116.396,地铁8号线重要车站,9889,4.95,3622,/images/transport/29.jpg,400000
北京地铁南锣鼓巷站,交通,39.939,116.404,地铁6号线与8号线换乘站,11155,4.95,4697,/images/transport/30.jpg,400000
北京地铁北海北站,交通,39.933,116.387,地铁6号线重要车站,6652,4.95,4868,/images/transport/31.jpg,275224
北京地铁平安里站,交通,39.933,116.373,地铁4号线与6号线换乘站,10803,4.95,15574,/images/transport/32.jpg,400000
北京地铁西四站,交通,39.924,116.373,地铁4号线重要车站,7919,4.51,10006,/images/transport/33.jpg,330421
北京地铁灵境胡同站,交通,39.916,116.373,地铁4号线重要车站,7145,4.95,3243,/images/transport/34.jpg,234726
北京地铁菜市口站,交通,39.891,116.373,地铁4号线与7号线换乘站,8059,4.83,5471,/images/transport/35.jpg,388260
北京地铁宣武门站,交通,39.899,116.367,地铁2号线与4号线换乘站,6582,4.69,8526,/images/transport/36.jpg,279255
北京地铁长椿街站,交通,39.899,116.357,地铁2号线重要车站,8200,4.95,13615,/images/transport/37.jpg,400000
北京地铁阜成门站,交通,39.924,116.357,地铁2号线重要车站,11648,4.94,10523,/images/transport/38.jpg,400000
北京地铁车公庄站,交通,39.932,116.347,地铁2号线与6号线换乘站,10240,4.48,11255,/images/transport/39.jpg,400000
北京地铁白石桥南站,交通,39.932,116.327,地铁6号线与9号线换乘站,5667,4.95,5337,/images/transport/40.jpg,234739
北京地铁国家图书馆站,交通,39.943,116.317,地铁4号线与9号线换乘站,11788,4.54,20206,/images/transport/41.jpg,229962
北京地铁魏公村站,交通,39.956,116.317,地铁4号线重要车站,6441,4.95,2993,/images/transport/42.jpg,287295
北京地铁人民大学站,交通,39.966,116.317,地铁4号线重要车站,9185,4.93,12301,/images/transport/43.jpg,400000
北京地铁海淀黄庄站,交通,39.975,116.317,地铁4号线与10号线换乘站,11014,4.82,19682,/images/transport/44.jpg,294431
北京地铁中关村站,交通,39.983,116.317,地铁4号线重要车站,10522,4.95,7552,/images/transport/45.jpg,175506
北京地铁北京大学东门站,交通,39.992,116.317,地铁4号线重要车站,7567,4.94,7192,/images/transport/46.jpg,400000
北京地铁圆明园站,交通,40.003,116.307,地铁4号线重要车站,6863,4.31,5150,/images/transport/47.jpg,400000
北京地铁西苑站,交通,40.008,116.293,地铁4号线重要车站,9748,4.85,5716,/images/transport/48.jpg,400000
北京地铁北宫门站,交通,40.008,116.277,地铁4号线重要车站,7285,4.95,8246,/images/transport/49.jpg,360046
北京地铁安河桥北站,交通,40.017,116.267,地铁4号线北端终点站,11788,4.9,10281,/images/transport/50.jpg,226771
北京地铁宋家庄站,交通,39.851,116.428,地铁5号线、10号线、亦庄线换乘枢纽,6441,4.5,7757,/images/transport/51.jpg,144776
北京地铁刘家窑站,交通,39.858,116.421,地铁5号线重要车站,8622,4.46,5114,/images/transport/52.jpg,400000
